cpu_name,passmark_score,passmark_rank,passmark_value
AMD Athlon X4 840,3321,2311,26.58
AMD Athlon X4 845,3792,2151,106.99
AMD Athlon X4 850,3366,2294,
AMD Athlon X4 860K,3432,2255,49.05
AMD Athlon X4 870K,3410,2266,99.7
AMD Athlon X4 880K,3659,2188,38.68
AMD Athlon X4 950,3596,2210,122.91
AMD Athlon X4 970,3811,2144,
AMD Athlon XP 1500+,167,4759,
AMD Athlon XP 1600+,174,4751,
AMD Athlon XP 1700+,176,4750,3.44
AMD Athlon XP 1800+,195,4716,3.83
AMD Athlon XP 1900+,203,4704,4.44
AMD Athlon XP 2000+,195,4717,3.31
AMD Athlon XP 2100+,210,4692,3.3
AMD Athlon XP 2200+,214,4689,2.52
AMD Athlon XP 2400+,234,4661,2.93
AMD Athlon XP 2500+,231,4669,
AMD Athlon XP 2600+,242,4646,10.52
AMD Athlon XP 2700+,256,4625,3.02
AMD Athlon XP 2800+,260,4621,
AMD Athlon XP 2900+,276,4599,
AMD Athlon XP 3000+,262,4620,3.29
AMD Athlon XP 3100+,282,4589,
AMD Athlon XP 3200+,281,4590,
AMD Athlon XP1600+,183,4739,
AMD Athlon XP2400+,243,4643,
AMD Athlon64 X2 Dual Core 4600+,803,3970,
AMD C-30,178,4748,
AMD C-50,265,4614,
AMD C-60,290,4579,
AMD C-60 APU,316,4542,
AMD C-70 APU,315,4546,
AMD Custom APU 0932,9443,1211,
AMD E-240,195,4715,
AMD E-300 APU,339,4505,
AMD E-350,421,4402,
AMD E-350 APU,423,4398,
AMD E-350D APU,486,4345,
AMD E-450 APU,437,4384,
AMD E1 Micro-6200T APU,600,4207,
AMD E1-1200 APU,380,4460,
AMD E1-1500 APU,398,4440,
AMD E1-2100 APU,405,4426,
AMD E1-2200 APU,474,4355,
AMD E1-2500 APU,591,4222,
AMD E1-6010 APU,535,4291,
AMD E1-6015 APU,571,4246,
AMD E1-6050J APU,1385,3401,
AMD E1-7010 APU,592,4219,
AMD E2-1800 APU,449,4378,
AMD E2-2000 APU,496,4333,
AMD E2-3000 APU,726,4066,
AMD E2-3000M APU,668,4136,15.54
AMD E2-3200 APU,968,3796,121.16
AMD E2-3800 APU,1152,3603,
AMD E2-6110 APU,1128,3622,
AMD E2-7015,637,4170,
AMD E2-7015 APU,662,4144,
AMD E2-7110 APU,1515,3309,
AMD E2-9000,979,3782,
AMD E2-9000e,890,3871,
AMD E2-9010,1093,3653,
AMD E2-9030,983,3779,
AMD Embedded G-Series GX-215JJ Radeon R2E,1064,3691,
AMD Embedded G-Series GX-224IJ Radeon R4E,1271,3481,
AMD Embedded G-Series GX-420GI Radeon R7E,1587,3246,
AMD Embedded R-Series RX-216GD,1628,3217,
AMD Embedded R-Series RX-418GD Radeon R6,3426,2259,
AMD Embedded R-Series RX-421BD,3302,2321,
AMD Embedded R-Series RX-421ND,3024,2434,
AMD EPYC 3101 4-Core,6050,1676,
AMD EPYC 3151,8376,1313,
AMD EPYC 3201,8672,1277,
AMD EPYC 3251,13912,935,44.17
AMD EPYC 3451,19532,663,
AMD EPYC 4124P,18637,707,
AMD EPYC 4244P,27446,380,
AMD EPYC 4344P,35191,240,94.86
AMD EPYC 4364P,36124,235,
AMD EPYC 4464P,48793,143,
AMD EPYC 4484PX,51115,129,
AMD EPYC 4564P,62058,77,
AMD EPYC 4584PX,62120,76,
AMD EPYC 7232P,17731,749,51.39
AMD EPYC 7251,14935,871,29.28
AMD EPYC 7252,19411,670,50.82
AMD EPYC 7262,20779,611,49.5
AMD EPYC 7272,25161,446,139.82
AMD EPYC 7281,21621,577,43.24
AMD EPYC 7282,30128,319,182.65
AMD EPYC 72F3,27252,389,21.92
AMD EPYC 7301,14991,870,10.06
AMD EPYC 7302,33106,270,42.07
AMD EPYC 7302P,32626,278,40.83
AMD EPYC 7303,28572,349,47.3
AMD EPYC 7313,39091,211,42.33
AMD EPYC 7313P,41657,191,40.44
AMD EPYC 7343,43368,182,41.97
AMD EPYC 7351,23566,502,36.31
AMD EPYC 7351P,25657,428,200.44
AMD EPYC 7352,40096,205,80.36
AMD EPYC 7371,31094,299,50.97
AMD EPYC 73F3,46103,160,20.93
AMD EPYC 7401P,28546,351,11.42
AMD EPYC 7402,45873,163,61.08
AMD EPYC 7402P,44068,176,49.52
AMD EPYC 7413,50223,135,37.24
AMD EPYC 7443,56601,109,25.37
AMD EPYC 7443P,57088,107,44.34
AMD EPYC 7451,25863,424,14.47
AMD EPYC 7452,44759,172,31.32
AMD EPYC 7453,50575,132,34.61
AMD EPYC 7473X,59280,88,
AMD EPYC 74F3,60666,81,20.29
AMD EPYC 7501,24925,454,18.8
AMD EPYC 7502,47983,145,58.24
AMD EPYC 7502P,50667,131,39.74
AMD EPYC 7513,59285,87,37.77
AMD EPYC 7532,52612,123,164.44
AMD EPYC 7542,45003,169,93.76
AMD EPYC 7543,58303,94,15.5
AMD EPYC 7543P,66687,59,44.14
AMD EPYC 7551,24534,471,171.63
AMD EPYC 7551P,38126,216,190.68
AMD EPYC 7552,61282,80,36.07
